council_name,application_status,application_type,application_count,total_development_cost,average_development_cost,latest_source_updated_at
Ryde City Council,Withdrawn,Modification Application,1,1500.0,1500.0,2026-03-20 23:04:41.293
Shellharbour City Council,Determined,Development Application,61,27713576.66,454320.928852459,2026-03-28 23:53:34.517
Shellharbour City Council,Determined,Modification Application,8,1059481.79,151354.54142857142,2026-03-28 23:50:09.537
Shellharbour City Council,Withdrawn,Development Application,6,4550010.0,758335.0,2026-03-28 23:53:28.047
Shoalhaven City Council,Determined,Development Application,56,27375215.85,488843.14017857146,2026-03-29 00:00:04.933
Shoalhaven City Council,Determined,Modification Application,7,1056452.0,211290.4,2026-03-28 21:56:31.307
Shoalhaven City Council,Withdrawn,Development Application,4,4915165.0,1228791.25,2026-03-28 23:49:00.837
Singleton Council,Determined,Development Application,6,2178397.0,363066.1666666667,2026-03-28 23:57:42.093
Singleton Council,Withdrawn,Modification Application,1,0.0,0.0,2026-03-28 22:00:23.72
Snowy Monaro Regional Council,Determined,Development Application,2,827147.0,413573.5,2026-03-28 23:51:35.237
Snowy Valleys Council,Determined,Development Application,3,116000.0,38666.666666666664,2026-03-22 08:31:29.23
Strathfield Municipal Council,Cancelled,Development Application,1,24000.0,24000.0,2026-03-20 22:25:34.33
Strathfield Municipal Council,Determined,Development Application,13,7945810.0,611216.1538461539,2026-03-22 08:28:41.913
Strathfield Municipal Council,Determined,Modification Application,6,4600000.0,920000.0,2026-03-20 23:25:26.437
Strathfield Municipal Council,Withdrawn,Development Application,2,89400.0,44700.0,2026-03-20 22:54:27.89
Sutherland Shire Council,Deferred Commencement,Development Application,2,6190474.6,3095237.3,2026-03-20 23:11:19.61
Sutherland Shire Council,Determined,Development Application,227,128854180.19,575241.8758482143,2026-03-28 23:49:02.64
Sutherland Shire Council,Determined,Modification Application,76,112383033.7,1842344.8147540984,2026-03-28 23:52:24.95
Sutherland Shire Council,Determined,Review of determination,2,20535500.0,10267750.0,2026-03-20 23:20:25.73
Sutherland Shire Council,Rejected,Development Application,4,1580759.0,395189.75,2026-03-20 23:05:33.96
Sutherland Shire Council,Rejected,Modification Application,1,300000.0,300000.0,2026-03-20 23:09:53.783
Sutherland Shire Council,Withdrawn,Development Application,19,11278645.17,593612.9036842105,2026-03-22 08:24:44.117
Sutherland Shire Council,Withdrawn,Modification Application,6,3155700.0,631140.0,2026-03-20 23:25:19.26
Tamworth Regional Council,Determined,Development Application,1,6000.0,6000.0,2026-03-28 21:59:01.45
The Council of the Municipality of Hunters Hill,Determined,Development Application,6,1864852.0,310808.6666666667,2026-03-28 22:41:21.213
The Council of the Municipality of Hunters Hill,Determined,Modification Application,4,2745000.0,915000.0,2026-03-20 22:58:29.103
The Council of the Municipality of Hunters Hill,Withdrawn,Modification Application,1,0.0,0.0,2026-03-20 22:25:21.61
The Council of the Municipality of Kiama,Deferred Commencement,Development Application,1,603707.0,603707.0,2026-03-22 08:26:39.397
The Council of the Municipality of Kiama,Determined,Development Application,15,4073035.3,271535.68666666665,2026-03-28 23:50:12.537
The Council of the Municipality of Kiama,Determined,Modification Application,3,653853.0,326926.5,2026-03-28 23:38:11.293
The Council of the Shire of Hornsby,Determined,Development Application,64,38976937.5,609014.6484375,2026-03-28 23:51:58.207
The Council of the Shire of Hornsby,Determined,Modification Application,27,8135515.3,353718.0565217391,2026-03-29 00:00:00.533
The Council of the Shire of Hornsby,Determined,Review of determination,1,98000.0,98000.0,2026-03-20 23:20:41.27
The Council of the Shire of Hornsby,Rejected,Development Application,2,202000.0,101000.0,2026-03-28 23:51:35.457
The Council of the Shire of Hornsby,Rejected,Modification Application,2,611723.0,305861.5,2026-03-28 23:38:00.23
The Council of the Shire of Hornsby,Withdrawn,Development Application,4,128000.0,32000.0,2026-03-20 23:20:34.83
The Hills Shire Council,Determined,Development Application,197,149059113.94999996,756645.2484771572,2026-03-28 23:46:33.8
The Hills Shire Council,Determined,Modification Application,45,29719631.5,825545.3194444445,2026-03-28 23:51:42.51
The Hills Shire Council,Pending Lodgement,Modification Application,1,,,2026-03-20 23:15:50.773
